county,population,Metric_Type,prop_comfortable,prop_okay,prop_just,prop_difficult,total
Santa Barbara,E,Traditional Metric,0.26,0.22,0.3,0.22,1
Santa Clara,E,Traditional Metric,0.25,0.48,0.15,0.12,1
Santa Cruz,E,Traditional Metric,0.42,0.19,0.02,0.38,1
Shasta,E,Traditional Metric,0.29,0.23,0.29,0.2,1
Sierra,E,Traditional Metric,0.15,0.3,0.11,0.45,1
Siskiyou,E,Traditional Metric,0.05,0.2,0.46,0.29,1
Solano,E,Traditional Metric,0.47,0,0.44,0.09,1
Sonoma,E,Traditional Metric,0.22,0.52,0.01,0.25,1
Stanislaus,E,Traditional Metric,0.02,0.19,0.38,0.41,1
Sutter,E,Traditional Metric,0.29,0.45,0.25,0.01,1
Tehama,E,Traditional Metric,0.34,0.14,0.24,0.28,1
Trinity,E,Traditional Metric,0.47,0.09,0.25,0.19,1
Tulare,E,Traditional Metric,0.16,0.14,0.37,0.33,1
Tuolumne,E,Traditional Metric,0.15,0.66,0.12,0.07,1
Ventura,E,Traditional Metric,0.07,0.35,0.19,0.39,1
Yolo,E,Traditional Metric,0.33,0.27,0.37,0.03,1
Yuba,E,Traditional Metric,0.24,0.31,0.33,0.13,1
Alameda,F,Traditional Metric,0.09,0.36,0.35,0.2,1
Alpine,F,Traditional Metric,0.09,0.31,0.37,0.24,1
Amador,F,Traditional Metric,0.35,0.27,0.17,0.2,1
Butte,F,Traditional Metric,0.2,0.08,0.34,0.37,1
Calaveras,F,Traditional Metric,0.34,0.04,0.38,0.24,1
Colusa,F,Traditional Metric,0.27,0.3,0.31,0.13,1
Contra Costa,F,Traditional Metric,0.01,0.41,0.01,0.57,1
Del Norte,F,Traditional Metric,0.28,0.38,0.21,0.13,1
El Dorado,F,Traditional Metric,0.27,0.29,0.24,0.2,1
Fresno,F,Traditional Metric,0.25,0.3,0.08,0.36,1
Glenn,F,Traditional Metric,0.06,0.25,0.22,0.48,1
Humboldt,F,Traditional Metric,0.53,0.1,0.31,0.05,1
Imperial,F,Traditional Metric,0.31,0.2,0.35,0.14,1
Inyo,F,Traditional Metric,0.08,0.43,0.19,0.3,1
Kern,F,Traditional Metric,0.31,0.39,0.14,0.16,1
Kings,F,Traditional Metric,0.3,0.29,0.14,0.27,1
Lake,F,Traditional Metric,0.18,0.34,0.12,0.36,1
Lassen,F,Traditional Metric,0.16,0.11,0.35,0.38,1
Los Angeles,F,Traditional Metric,0.3,0.06,0.05,0.59,1
Madera,F,Traditional Metric,0.11,0.23,0.29,0.38,1
Marin,F,Traditional Metric,0.35,0.36,0.26,0.03,1
Mariposa,F,Traditional Metric,0.65,0.08,0.04,0.23,1
Mendocino,F,Traditional Metric,0.24,0.34,0.35,0.07,1
Merced,F,Traditional Metric,0.25,0.08,0.29,0.38,1
Modoc,F,Traditional Metric,0.24,0.27,0.25,0.25,1
Mono,F,Traditional Metric,0.36,0.06,0.19,0.39,1
Monterey,F,Traditional Metric,0.01,0.35,0.5,0.14,1
Napa,F,Traditional Metric,0.24,0.5,0.24,0.01,1
Nevada,F,Traditional Metric,0.02,0.34,0.36,0.28,1
Orange,F,Traditional Metric,0.36,0.3,0,0.34,1
Placer,F,Traditional Metric,0.38,0.05,0.36,0.21,1
Plumas,F,Traditional Metric,0.3,0.46,0.04,0.2,1
Riverside,F,Traditional Metric,0.33,0.24,0.31,0.12,1
Sacramento,F,Traditional Metric,0.25,0.35,0.25,0.15,1
San Benito,F,Traditional Metric,0.35,0.09,0.36,0.19,1
San Bernardino,F,Traditional Metric,0.29,0.01,0.4,0.3,1
San Diego,F,Traditional Metric,0.38,0.16,0.14,0.32,1
San Francisco,F,Traditional Metric,0.4,0.12,0.3,0.18,1
San Joaquin,F,Traditional Metric,0.32,0.33,0.12,0.23,1
San Luis Obispo,F,Traditional Metric,0.03,0.41,0.25,0.31,1
San Mateo,F,Traditional Metric,0,0.12,0.05,0.83,1
Santa Barbara,F,Traditional Metric,0.02,0.4,0.15,0.42,1
Santa Clara,F,Traditional Metric,0.36,0.25,0.21,0.18,1
Santa Cruz,F,Traditional Metric,0.27,0.19,0.25,0.3,1
Shasta,F,Traditional Metric,0.16,0.34,0.41,0.09,1
Sierra,F,Traditional Metric,0.41,0.33,0.22,0.03,1
Siskiyou,F,Traditional Metric,0.23,0.21,0.34,0.22,1
Solano,F,Traditional Metric,0.23,0.17,0.25,0.35,1
Sonoma,F,Traditional Metric,0.15,0.36,0.2,0.29,1
Stanislaus,F,Traditional Metric,0.2,0.03,0.4,0.36,1
Sutter,F,Traditional Metric,0.36,0.07,0.13,0.44,1
Tehama,F,Traditional Metric,0.02,0.3,0.25,0.43,1
Trinity,F,Traditional Metric,0.15,0.3,0.41,0.13,1
Tulare,F,Traditional Metric,0.42,0.05,0.45,0.08,1
Tuolumne,F,Traditional Metric,0.3,0.2,0.33,0.16,1
Ventura,F,Traditional Metric,0.25,0.24,0.31,0.2,1
Yolo,F,Traditional Metric,0.14,0.16,0.37,0.33,1
Yuba,F,Traditional Metric,0.19,0.35,0.21,0.25,1
Alameda,G,Traditional Metric,0.07,0.33,0.18,0.43,1
Alpine,G,Traditional Metric,0.31,0.12,0.29,0.28,1
Amador,G,Traditional Metric,0.5,0.09,0.27,0.14,1
Butte,G,Traditional Metric,0.25,0.37,0.01,0.38,1
Calaveras,G,Traditional Metric,0.34,0.04,0.29,0.33,1
Colusa,G,Traditional Metric,0.48,0.02,0.33,0.17,1
Contra Costa,G,Traditional Metric,0.38,0.12,0.38,0.11,1
Del Norte,G,Traditional Metric,0.08,0.38,0.07,0.46,1
El Dorado,G,Traditional Metric,0.26,0.47,0.19,0.08,1
Fresno,G,Traditional Metric,0.37,0.18,0.39,0.06,1
Glenn,G,Traditional Metric,0.3,0.18,0.27,0.25,1
Humboldt,G,Traditional Metric,0.02,0.06,0.44,0.48,1
Imperial,G,Traditional Metric,0.45,0.29,0.01,0.25,1
Inyo,G,Traditional Metric,0.27,0.2,0.14,0.39,1
Kern,G,Traditional Metric,0.22,0.24,0.17,0.37,1
Kings,G,Traditional Metric,0.15,0.34,0.24,0.27,1
Lake,G,Traditional Metric,0.08,0.59,0.09,0.24,1
Lassen,G,Traditional Metric,0.06,0.25,0.34,0.35,1
Los Angeles,G,Traditional Metric,0.17,0.07,0.36,0.4,1
Madera,G,Traditional Metric,0.4,0.24,0.33,0.03,1
Marin,G,Traditional Metric,0.17,0.35,0.18,0.3,1
Mariposa,G,Traditional Metric,0.16,0.45,0.18,0.2,1
Mendocino,G,Traditional Metric,0.28,0.36,0.18,0.18,1
Merced,G,Traditional Metric,0.2,0.37,0.4,0.03,1
Modoc,G,Traditional Metric,0.34,0.07,0.32,0.27,1
Mono,G,Traditional Metric,0.04,0.5,0.29,0.16,1
Monterey,G,Traditional Metric,0.2,0.28,0.46,0.06,1
Napa,G,Traditional Metric,0.35,0.08,0.3,0.26,1
Nevada,G,Traditional Metric,0.32,0.37,0.09,0.22,1
Orange,G,Traditional Metric,0.18,0.07,0.67,0.08,1
Placer,G,Traditional Metric,0.15,0.26,0.25,0.34,1
Plumas,G,Traditional Metric,0.17,0.33,0.19,0.31,1
Riverside,G,Traditional Metric,0.26,0.47,0.06,0.22,1
Sacramento,G,Traditional Metric,0.32,0.48,0.11,0.09,1
San Benito,G,Traditional Metric,0.31,0.13,0.16,0.4,1
San Bernardino,G,Traditional Metric,0.08,0.13,0.36,0.43,1
San Diego,G,Traditional Metric,0.29,0.28,0.3,0.13,1
San Francisco,G,Traditional Metric,0.48,0.02,0.35,0.15,1
San Joaquin,G,Traditional Metric,0.23,0.36,0.4,0,1
San Luis Obispo,G,Traditional Metric,0.11,0.48,0.09,0.32,1
San Mateo,G,Traditional Metric,0.34,0.19,0.38,0.08,1
Santa Barbara,G,Traditional Metric,0.21,0.42,0.12,0.25,1
Santa Clara,G,Traditional Metric,0.43,0.09,0.16,0.32,1
Santa Cruz,G,Traditional Metric,0.05,0.43,0.19,0.32,1
Shasta,G,Traditional Metric,0.43,0.07,0.02,0.48,1
Sierra,G,Traditional Metric,0.22,0.12,0.08,0.58,1
Siskiyou,G,Traditional Metric,0.21,0.5,0.09,0.2,1
Solano,G,Traditional Metric,0.3,0.27,0.09,0.34,1
Sonoma,G,Traditional Metric,0.33,0.17,0.29,0.21,1
Stanislaus,G,Traditional Metric,0.01,0.65,0.01,0.33,1
Sutter,G,Traditional Metric,0.19,0.52,0.21,0.09,1
Tehama,G,Traditional Metric,0.22,0.28,0.49,0.01,1
Trinity,G,Traditional Metric,0.34,0.53,0.01,0.12,1
Tulare,G,Traditional Metric,0.4,0.1,0.17,0.33,1
Tuolumne,G,Traditional Metric,0.48,0.18,0.22,0.11,1
Ventura,G,Traditional Metric,0.49,0.04,0.44,0.03,1
Yolo,G,Traditional Metric,0.31,0.05,0.32,0.32,1
Yuba,G,Traditional Metric,0.34,0.04,0.23,0.39,1
Alameda,H,Traditional Metric,0.07,0.14,0.37,0.42,1
Alpine,H,Traditional Metric,0.09,0.22,0.35,0.34,1
Amador,H,Traditional Metric,0.11,0.36,0.12,0.41,1
Butte,H,Traditional Metric,0.18,0.29,0.21,0.33,1
Calaveras,H,Traditional Metric,0.06,0.24,0.05,0.65,1
Colusa,H,Traditional Metric,0.08,0.36,0.29,0.26,1
Contra Costa,H,Traditional Metric,0.32,0.39,0.11,0.19,1
Del Norte,H,Traditional Metric,0.21,0.08,0.45,0.26,1
El Dorado,H,Traditional Metric,0.25,0.17,0.23,0.35,1
Fresno,H,Traditional Metric,0.46,0.17,0.14,0.23,1
Glenn,H,Traditional Metric,0.26,0.18,0.33,0.23,1
Humboldt,H,Traditional Metric,0.25,0.52,0.04,0.19,1
Imperial,H,Traditional Metric,0.64,0.21,0.02,0.13,1
Inyo,H,Traditional Metric,0.08,0.29,0.43,0.2,1
Kern,H,Traditional Metric,0.12,0.42,0.37,0.09,1
Kings,H,Traditional Metric,0.43,0.09,0.32,0.16,1
Lake,H,Traditional Metric,0.09,0.35,0.28,0.29,1
Lassen,H,Traditional Metric,0.32,0.26,0.08,0.34,1
Los Angeles,H,Traditional Metric,0.31,0.22,0.26,0.21,1
Madera,H,Traditional Metric,0.21,0.44,0.24,0.12,1
Marin,H,Traditional Metric,0.62,0.04,0.04,0.3,1
Mariposa,H,Traditional Metric,0.11,0.37,0.31,0.21,1
Mendocino,H,Traditional Metric,0.05,0.61,0.21,0.13,1
Merced,H,Traditional Metric,0.21,0.21,0.25,0.32,1
Modoc,H,Traditional Metric,0.48,0.16,0.34,0.02,1
Mono,H,Traditional Metric,0.37,0.49,0.12,0.01,1
Monterey,H,Traditional Metric,0.1,0.1,0.45,0.35,1
Napa,H,Traditional Metric,0.29,0.24,0.35,0.12,1
Nevada,H,Traditional Metric,0.01,0.4,0.41,0.19,1
Orange,H,Traditional Metric,0.7,0.05,0.11,0.14,1
Placer,H,Traditional Metric,0.25,0.14,0.3,0.31,1
Plumas,H,Traditional Metric,0.24,0.31,0.22,0.23,1
Riverside,H,Traditional Metric,0.31,0.03,0.62,0.04,1
Sacramento,H,Traditional Metric,0.14,0.38,0.28,0.2,1
San Benito,H,Traditional Metric,0.25,0.53,0.17,0.06,1
San Bernardino,H,Traditional Metric,0.28,0.24,0.33,0.14,1
San Diego,H,Traditional Metric,0.31,0,0.45,0.24,1
San Francisco,H,Traditional Metric,0.21,0.24,0.22,0.33,1
San Joaquin,H,Traditional Metric,0.39,0.34,0.23,0.04,1
San Luis Obispo,H,Traditional Metric,0.22,0.02,0.53,0.23,1
San Mateo,H,Traditional Metric,0.34,0.5,0.15,0.01,1
Santa Barbara,H,Traditional Metric,0.19,0.32,0.34,0.14,1
Santa Clara,H,Traditional Metric,0.13,0.12,0.38,0.37,1
Santa Cruz,H,Traditional Metric,0.23,0.3,0.17,0.3,1
Shasta,H,Traditional Metric,0.09,0.25,0.35,0.31,1
Sierra,H,Traditional Metric,0.65,0.2,0.08,0.07,1
Siskiyou,H,Traditional Metric,0.22,0.32,0.39,0.07,1
Solano,H,Traditional Metric,0.06,0.42,0.22,0.3,1
Sonoma,H,Traditional Metric,0.29,0.39,0.14,0.18,1
Stanislaus,H,Traditional Metric,0.26,0.37,0.29,0.09,1
Sutter,H,Traditional Metric,0.12,0.53,0.25,0.1,1
Tehama,H,Traditional Metric,0.29,0.31,0.34,0.07,1
Trinity,H,Traditional Metric,0.18,0.17,0.39,0.26,1
Tulare,H,Traditional Metric,0.27,0.08,0.35,0.3,1
Tuolumne,H,Traditional Metric,0.3,0.3,0.23,0.18,1
Ventura,H,Traditional Metric,0.26,0.26,0.15,0.32,1
Yolo,H,Traditional Metric,0.2,0.35,0.36,0.09,1
Yuba,H,Traditional Metric,0.24,0.01,0.4,0.35,1
Alameda,I,Traditional Metric,0.24,0.17,0.37,0.22,1
Alpine,I,Traditional Metric,0.06,0.45,0.37,0.12,1
Amador,I,Traditional Metric,0.26,0.05,0.59,0.1,1
Butte,I,Traditional Metric,0.01,0.34,0.22,0.43,1
Calaveras,I,Traditional Metric,0.38,0.24,0.09,0.29,1
Colusa,I,Traditional Metric,0.41,0.12,0.28,0.19,1
Contra Costa,I,Traditional Metric,0.28,0.15,0.29,0.28,1
Del Norte,I,Traditional Metric,0.29,0.24,0.23,0.25,1
El Dorado,I,Traditional Metric,0.47,0.09,0.11,0.34,1
Fresno,I,Traditional Metric,0.21,0.04,0.38,0.36,1
Glenn,I,Traditional Metric,0.43,0.41,0.01,0.15,1
Humboldt,I,Traditional Metric,0.16,0.06,0.53,0.25,1
Imperial,I,Traditional Metric,0.75,0.11,0.1,0.04,1
Inyo,I,Traditional Metric,0.13,0.34,0.45,0.08,1
Kern,I,Traditional Metric,0.14,0.27,0.26,0.33,1
Kings,I,Traditional Metric,0.3,0.13,0.26,0.31,1
Lake,I,Traditional Metric,0.33,0.12,0.36,0.19,1
Lassen,I,Traditional Metric,0.12,0.45,0.19,0.25,1
Los Angeles,I,Traditional Metric,0.18,0.5,0.02,0.29,1
Madera,I,Traditional Metric,0.63,0.09,0.24,0.04,1
Marin,I,Traditional Metric,0.04,0.49,0.05,0.42,1
Mariposa,I,Traditional Metric,0.46,0.01,0.11,0.42,1
Mendocino,I,Traditional Metric,0.29,0.1,0.51,0.1,1
Merced,I,Traditional Metric,0.11,0.27,0.16,0.45,1
Modoc,I,Traditional Metric,0.32,0.28,0.11,0.29,1
Mono,I,Traditional Metric,0.34,0.11,0.42,0.14,1
Monterey,I,Traditional Metric,0.3,0.3,0.26,0.13,1
Napa,I,Traditional Metric,0.31,0.31,0.1,0.28,1
Nevada,I,Traditional Metric,0.47,0.25,0.16,0.13,1
Orange,I,Traditional Metric,0.41,0.33,0.22,0.04,1
Placer,I,Traditional Metric,0.36,0.18,0.22,0.24,1
Plumas,I,Traditional Metric,0.29,0.21,0.41,0.09,1
Riverside,I,Traditional Metric,0.11,0.39,0.22,0.27,1
Sacramento,I,Traditional Metric,0.02,0.16,0.4,0.41,1
San Benito,I,Traditional Metric,0.31,0.02,0.37,0.31,1
San Bernardino,I,Traditional Metric,0.18,0.49,0.26,0.08,1
San Diego,I,Traditional Metric,0.31,0.21,0.34,0.15,1
San Francisco,I,Traditional Metric,0.12,0.45,0.15,0.29,1
San Joaquin,I,Traditional Metric,0.29,0.07,0.29,0.35,1
San Luis Obispo,I,Traditional Metric,0.25,0.58,0.14,0.03,1
San Mateo,I,Traditional Metric,0.45,0.55,0,0,1
Santa Barbara,I,Traditional Metric,0.12,0.39,0.1,0.39,1
Santa Clara,I,Traditional Metric,0.06,0.23,0.53,0.17,1
Santa Cruz,I,Traditional Metric,0.01,0.35,0.2,0.44,1
Shasta,I,Traditional Metric,0.29,0.11,0.35,0.25,1
Sierra,I,Traditional Metric,0.26,0.15,0.14,0.45,1
Siskiyou,I,Traditional Metric,0.34,0.42,0.06,0.18,1
Solano,I,Traditional Metric,0.03,0.39,0.22,0.36,1
Sonoma,I,Traditional Metric,0.06,0.27,0.24,0.42,1
Stanislaus,I,Traditional Metric,0.06,0.38,0.42,0.14,1
Sutter,I,Traditional Metric,0.28,0.12,0.34,0.26,1
Tehama,I,Traditional Metric,0.3,0.09,0.24,0.36,1
Trinity,I,Traditional Metric,0.31,0.19,0.26,0.23,1
Tulare,I,Traditional Metric,0.32,0.18,0.15,0.35,1
Tuolumne,I,Traditional Metric,0.15,0.03,0.45,0.37,1
Ventura,I,Traditional Metric,0.14,0.68,0.1,0.08,1
Yolo,I,Traditional Metric,0.48,0.41,0.08,0.02,1
Yuba,I,Traditional Metric,0.29,0.34,0.23,0.15,1
Alameda,J,Traditional Metric,0.1,0.21,0.46,0.23,1
Alpine,J,Traditional Metric,0.32,0.05,0.23,0.4,1
Amador,J,Traditional Metric,0.33,0.26,0.05,0.36,1
Butte,J,Traditional Metric,0.39,0.01,0.13,0.47,1
Calaveras,J,Traditional Metric,0.32,0.09,0.42,0.17,1
Colusa,J,Traditional Metric,0.31,0.3,0.22,0.18,1
Contra Costa,J,Traditional Metric,0.41,0.07,0.24,0.29,1
Del Norte,J,Traditional Metric,0.26,0.1,0.3,0.34,1
El Dorado,J,Traditional Metric,0.06,0.2,0.28,0.46,1
Fresno,J,Traditional Metric,0.51,0.19,0.24,0.06,1
Glenn,J,Traditional Metric,0.27,0.13,0.2,0.4,1
Humboldt,J,Traditional Metric,0.21,0.02,0.33,0.44,1
Imperial,J,Traditional Metric,0.17,0.51,0.09,0.22,1
Inyo,J,Traditional Metric,0.15,0.58,0.15,0.12,1
Kern,J,Traditional Metric,0.16,0.37,0.37,0.1,1
Kings,J,Traditional Metric,0.39,0.19,0.41,0.02,1
Lake,J,Traditional Metric,0.15,0.25,0.3,0.3,1
Lassen,J,Traditional Metric,0.45,0.04,0.04,0.47,1
Los Angeles,J,Traditional Metric,0.12,0.21,0.34,0.33,1
Madera,J,Traditional Metric,0.07,0.33,0.27,0.33,1
Marin,J,Traditional Metric,0.34,0.18,0.28,0.2,1
Mariposa,J,Traditional Metric,0.2,0.32,0.33,0.15,1
Mendocino,J,Traditional Metric,0.09,0.34,0.23,0.33,1
Merced,J,Traditional Metric,0.15,0.45,0.21,0.18,1
Modoc,J,Traditional Metric,0.41,0.24,0.06,0.29,1
Mono,J,Traditional Metric,0.32,0.06,0.21,0.41,1
Monterey,J,Traditional Metric,0.08,0.4,0.39,0.14,1
Napa,J,Traditional Metric,0.37,0.35,0.15,0.12,1
Nevada,J,Traditional Metric,0.33,0.14,0.01,0.53,1
Orange,J,Traditional Metric,0.35,0.39,0.13,0.13,1
Placer,J,Traditional Metric,0.36,0.1,0.04,0.5,1
Plumas,J,Traditional Metric,0.29,0.21,0.13,0.37,1
Riverside,J,Traditional Metric,0.27,0.33,0.05,0.35,1
Sacramento,J,Traditional Metric,0.36,0.11,0.18,0.36,1
San Benito,J,Traditional Metric,0.34,0.26,0.12,0.29,1
San Bernardino,J,Traditional Metric,0.14,0.42,0.27,0.18,1
San Diego,J,Traditional Metric,0.31,0.36,0.31,0.02,1
San Francisco,J,Traditional Metric,0.12,0.39,0.08,0.41,1
San Joaquin,J,Traditional Metric,0.3,0.17,0.34,0.19,1
San Luis Obispo,J,Traditional Metric,0.18,0.39,0.28,0.15,1
San Mateo,J,Traditional Metric,0.07,0.15,0.06,0.73,1
Santa Barbara,J,Traditional Metric,0.37,0.24,0.07,0.31,1
Santa Clara,J,Traditional Metric,0.09,0.3,0.28,0.33,1
Santa Cruz,J,Traditional Metric,0.2,0.09,0.45,0.26,1
Shasta,J,Traditional Metric,0.3,0.27,0.38,0.05,1
Sierra,J,Traditional Metric,0.24,0.26,0.17,0.34,1
Siskiyou,J,Traditional Metric,0.21,0.6,0.1,0.09,1
Solano,J,Traditional Metric,0.1,0.22,0.11,0.57,1
Sonoma,J,Traditional Metric,0.37,0.22,0.19,0.22,1
Stanislaus,J,Traditional Metric,0.38,0,0.25,0.36,1
Sutter,J,Traditional Metric,0.28,0.14,0.3,0.28,1
Tehama,J,Traditional Metric,0.34,0.23,0.28,0.14,1
Trinity,J,Traditional Metric,0.23,0.26,0.17,0.34,1
Tulare,J,Traditional Metric,0.14,0.31,0.24,0.32,1
Tuolumne,J,Traditional Metric,0.05,0.08,0.3,0.57,1
Ventura,J,Traditional Metric,0.37,0.29,0.16,0.18,1
Yolo,J,Traditional Metric,0.34,0.13,0.41,0.11,1
Yuba,J,Traditional Metric,0.08,0.24,0.39,0.29,1
